ciiu,actividad,cou,prefijo,nota
011101,011101 - Cultivo de trigo,1,011,plantas no perennes: cereales y forrajeras
011102,011102 - Cultivo de maíz,1,011,plantas no perennes: cereales y forrajeras
011103,011103 - Cultivo de avena,1,011,plantas no perennes: cereales y forrajeras
011104,011104 - Cultivo de cebada,1,011,plantas no perennes: cereales y forrajeras
011105,"011105 - Cultivo de otros cereales (excepto trigo, maíz, avena y cebada)",1,011,plantas no perennes: cereales y forrajeras
011106,011106 - Cultivo de porotos,1,011,plantas no perennes: cereales y forrajeras
011107,011107 - Cultivo de lupino,1,011,plantas no perennes: cereales y forrajeras
011108,011108 - Cultivo de otras legumbres (excepto porotos y lupino),1,011,plantas no perennes: cereales y forrajeras
011109,011109 - Cultivo de semillas de raps,1,011,plantas no perennes: cereales y forrajeras
011110,011110 - Cultivo de semillas de maravilla (girasol),1,011,plantas no perennes: cereales y forrajeras
011111,"011111 - Cultivo de semillas de cereales, legumbres y oleaginosas (excepto semillas de raps y maravilla)",1,011,plantas no perennes: cereales y forrajeras
011200,011200 - Cultivo de arroz,1,011,plantas no perennes: cereales y forrajeras
011301,011301 - Cultivo de papas,2,0113,hortalizas raices y tuberculos
011302,011302 - Cultivo de camotes,2,0113,hortalizas raices y tuberculos
011303,011303 - Cultivo de otros tubérculos (excepto papas y camotes),2,0113,hortalizas raices y tuberculos
011304,011304 - Cultivo de remolacha azucarera,2,0113,hortalizas raices y tuberculos
011305,011305 - Cultivo de semillas de hortalizas,2,0113,hortalizas raices y tuberculos
011306,011306 - Cultivo de hortalizas y melones,2,0113,hortalizas raices y tuberculos
011400,011400 - Cultivo de caña de azúcar,1,011,plantas no perennes: cereales y forrajeras
011500,011500 - Cultivo de tabaco,1,011,plantas no perennes: cereales y forrajeras
011600,011600 - Cultivo de plantas de fibra,1,011,plantas no perennes: cereales y forrajeras
011901,011901 - Cultivo de flores,1,011,plantas no perennes: cereales y forrajeras
011902,011902 - Cultivos forrajeros en praderas mejoradas o sembradas; cultivos suplementarios forrajeros,1,011,plantas no perennes: cereales y forrajeras
011903,011903 - Cultivos de semillas de flores; cultivo de semillas de plantas forrajeras,1,011,plantas no perennes: cereales y forrajeras
012111,012111 - Cultivo de uva destinada a la producción de pisco y aguardiente,3,0121,uva
012112,012112 - Cultivo de uva destinada a la producción de vino,3,0121,uva
012120,012120 - Cultivo de uva para mesa,3,0121,uva
012200,012200 - Cultivo de frutas tropicales y subtropicales (incluye el cultivo de paltas),4,012,plantas perennes: otras frutas
012300,012300 - Cultivo de cítricos,4,012,plantas perennes: otras frutas
012400,012400 - Cultivo de frutas de pepita y de hueso,4,012,plantas perennes: otras frutas
012501,012501 - Cultivo de semillas de frutas,4,012,plantas perennes: otras frutas
012502,012502 - Cultivo de otros frutos y nueces de árboles y arbustos,4,012,plantas perennes: otras frutas
012600,012600 - Cultivo de frutos oleaginosos (incluye el cultivo de aceitunas),4,012,plantas perennes: otras frutas
012700,"012700 - Cultivo de plantas con las que se preparan bebidas (incluye el cultivo de café, té y mate)",4,012,plantas perennes: otras frutas
012801,012801 - Cultivo de especias,4,012,plantas perennes: otras frutas
012802,"012802 - Cultivo de plantas aromáticas, medicinales y farmacéuticas",4,012,plantas perennes: otras frutas
012900,012900 - Cultivo de otras plantas perennes,4,012,plantas perennes: otras frutas
013000,013000 - Cultivo de plantas vivas incluida la producción en viveros (excepto viveros forestales),2,013,propagacion de plantas y viveros
014101,014101 - Cría de ganado bovino para la producción lechera,5,0141,ganado bovino
014102,014102 - Cría de ganado bovino para la producción de carne o como ganado reproductor,5,0141,ganado bovino
014200,014200 - Cría de caballos y otros equinos,8,014,ganaderia: otros animales
014300,"014300 - Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",8,014,ganaderia: otros animales
014410,014410 - Cría de ovejas (ovinos),8,014,ganaderia: otros animales
014420,014420 - Cría de cabras (caprinos),8,014,ganaderia: otros animales
014500,014500 - Cría de cerdos,6,0145,cerdos
014601,014601 - Cría de aves de corral para la producción de carne,7,0146,aves de corral
014602,014602 - Cría de aves de corral para la producción de huevos,7,0146,aves de corral
014901,014901 - Apicultura,8,014,ganaderia: otros animales
014909,014909 - Cría de otros animales n.c.p.,8,014,ganaderia: otros animales
015000,015000 - Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),1,015,cultivo combinado con cria de animales
016100,016100 - Actividades de apoyo a la agricultura,9,016,actividades de apoyo a la agricultura y ganaderia
016200,016200 - Actividades de apoyo a la ganadería,9,016,actividades de apoyo a la agricultura y ganaderia
016300,016300 - Actividades poscosecha,9,016,actividades de apoyo a la agricultura y ganaderia
016400,016400 - Tratamiento de semillas para propagación,9,016,actividades de apoyo a la agricultura y ganaderia
017000,017000 - Caza ordinaria y mediante trampas y actividades de servicios conexas,8,017,caza
021001,021001 - Explotación de viveros forestales,10,02,silvicultura y extraccion de madera
021002,021002 - Silvicultura y otras actividades forestales (excepto explotación de viveros forestales),10,02,silvicultura y extraccion de madera
022000,022000 - Extracción de madera,10,02,silvicultura y extraccion de madera
023000,023000 - Recolección de productos forestales distintos de la madera,10,02,silvicultura y extraccion de madera
024001,024001 - Servicios de forestación a cambio de una retribución o por contrata,10,02,silvicultura y extraccion de madera
024002,024002 - Servicios de corta de madera a cambio de una retribución o por contrata,10,02,silvicultura y extraccion de madera
024003,024003 - Servicios de extinción y prevención de incendios forestales,10,02,silvicultura y extraccion de madera
024009,024009 - Otros servicios de apoyo a la silvicultura n.c.p.,10,02,silvicultura y extraccion de madera
031110,"031110 - Pesca marítima industrial, excepto de barcos factoría",12,031,pesca extractiva
031120,031120 - Pesca marítima artesanal,12,031,pesca extractiva
031130,031130 - Recolección y extracción de productos marinos,12,031,pesca extractiva
031140,031140 - Servicios relacionados con la pesca marítima,12,031,pesca extractiva
031200,031200 - Pesca de agua dulce,12,031,pesca extractiva
032110,032110 - Cultivo y crianza de peces marinos,11,032,acuicultura
032120,"032120 - Cultivo, reproducción y manejo de algas marinas",11,032,acuicultura
032130,"032130 - Reproducción y cría de moluscos, crustáceos y gusanos marinos",11,032,acuicultura
032140,032140 - Servicios relacionados con la acuicultura marina,11,032,acuicultura
032200,032200 - Acuicultura de agua dulce,11,032,acuicultura
040000,040000 - Extracción y procesamiento de cobre,15,04,cobre: division 04 propia de la CIIU4.CL
051000,051000 - Extracción de carbón de piedra,13,05,extraccion de carbon de piedra y de lignito
052000,052000 - Extracción de lignito,13,05,extraccion de carbon de piedra y de lignito
061000,061000 - Extracción de petróleo crudo,14,06,extraccion de petroleo y gas natural
062000,062000 - Extracción de gas natural,14,06,extraccion de petroleo y gas natural
071000,071000 - Extracción de minerales de hierro,16,071,mineria del hierro
072100,072100 - Extracción de minerales de uranio y torio,17,072,otros metaliferos no ferrosos excepto cobre
072910,072910 - Extracción de oro y plata,17,072,otros metaliferos no ferrosos excepto cobre
072991,072991 - Extracción de zinc y plomo,17,072,otros metaliferos no ferrosos excepto cobre
072992,072992 - Extracción de manganeso,17,072,otros metaliferos no ferrosos excepto cobre
072999,"072999 - Extracción de otros minerales metalíferos no ferrosos n.c.p. (excepto zinc, plomo y manganeso)",17,072,otros metaliferos no ferrosos excepto cobre
081000,"081000 - Extracción de piedra, arena y arcilla",18,08,otras minas y canteras
089110,089110 - Extracción y procesamiento de litio,18,08,otras minas y canteras
089190,089190 - Extracción de minerales para la fabricación de abonos y productos químicos n.c.p.,18,08,otras minas y canteras
089200,089200 - Extracción de turba,18,08,otras minas y canteras
089300,089300 - Extracción de sal,18,08,otras minas y canteras
089900,089900 - Explotación de otras minas y canteras n.c.p.,18,08,otras minas y canteras
091001,091001 - Actividades de apoyo para la extracción de petróleo y gas natural prestados por empresas,18,09,servicios de apoyo a la mineria
091002,091002 - Actividades de apoyo para la extracción de petróleo y gas natural prestados por profesionales,18,09,servicios de apoyo a la mineria
099001,099001 - Actividades de apoyo para la explotación de otras minas y canteras prestados por empresas,18,09,servicios de apoyo a la mineria
099002,099002 - Actividades de apoyo para la explotación de otras minas y canteras prestados por profesionales,18,09,servicios de apoyo a la mineria
101011,"101011 - Explotación de mataderos de bovinos, ovinos, equinos, caprinos, porcinos y camélidos",19,101,elaboracion y conservacion de carne
101019,101019 - Explotación de mataderos de aves y de otros tipos de animales n.c.p.,19,101,elaboracion y conservacion de carne
101020,101020 - Elaboración y conservación de carne y productos cárnicos,19,101,elaboracion y conservacion de carne
102010,102010 - Producción de harina de pescado,20,102010,harina de pescado: la COU la separa de la conserva
102020,102020 - Elaboración y conservación de salmónidos,21,102,elaboracion y conservacion de pescados y mariscos
102030,"102030 - Elaboración y conservación de otros pescados, en plantas en tierra (excepto barcos factoría)",21,102,elaboracion y conservacion de pescados y mariscos
102040,"102040 - Elaboración y conservación de crustáceos, moluscos y otros productos acuáticos, en plantas en tierra",21,102,elaboracion y conservacion de pescados y mariscos
102050,"102050 - Actividades de elaboración y conservación de pescado, realizadas en barcos factoría",21,102,elaboracion y conservacion de pescados y mariscos
102060,102060 - Elaboración y procesamiento de algas,21,102,elaboracion y conservacion de pescados y mariscos
103000,"103000 - Elaboración y conservación de frutas, legumbres y hortalizas",22,103,conservacion de frutas legumbres y hortalizas
104000,104000 - Elaboración de aceites y grasas de origen vegetal y animal (excepto elaboración de mantequilla),23,104,aceites y grasas
105000,105000 - Elaboración de productos lácteos,24,105,productos lacteos
106101,"106101 - Molienda de trigo: producción de harina, sémola y gránulos",25,106,productos de molineria
106102,"106102 - Molienda de arroz, producción de harina de arroz",25,106,productos de molineria
106109,106109 - Elaboración de otros productos de molinería n.c.p.,25,106,productos de molineria
106200,106200 - Elaboración de almidones y productos derivados del almidón,25,106,productos de molineria
107100,107100 - Elaboración de productos de panadería y pastelería,27,107100,panaderia y pasteleria
107200,107200 - Elaboración de azúcar,29,107,otros productos alimenticios
107300,"107300 - Elaboración de cacao, chocolate y de productos de confitería",29,107,otros productos alimenticios
107400,"107400 - Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",28,107400,fideos y pastas
107500,"107500 - Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional",29,107,otros productos alimenticios
107901,"107901 - Elaboración de té, café, mate e infusiones de hierbas",29,107,otros productos alimenticios
107902,107902 - Elaboración de levaduras naturales o artificiales,29,107,otros productos alimenticios
107903,"107903 - Elaboración de vinagres, mostazas, mayonesas y condimentos en general",29,107,otros productos alimenticios
107909,107909 - Elaboración de otros productos alimenticios n.c.p.,29,107,otros productos alimenticios
108000,108000 - Elaboración de piensos preparados para animales,26,108,alimentos para animales
110110,110110 - Elaboración de pisco (industrias pisqueras),30,1101,piscos y licores
110120,"110120 - Destilación, rectificación y mezclas de bebidas alcohólicas; excepto pisco",30,1101,piscos y licores
110200,110200 - Elaboración de vinos,31,110200,vinos
110300,110300 - Elaboración de bebidas malteadas y de malta,32,110300,cervezas y bebidas malteadas
110401,110401 - Elaboración de bebidas no alcohólicas,33,1104,bebidas no alcoholicas y aguas embotelladas
110402,110402 - Producción de aguas minerales y otras aguas embotelladas,33,1104,bebidas no alcoholicas y aguas embotelladas
120001,120001 - Elaboración de cigarros y cigarrillos,34,120,productos de tabaco
120009,120009 - Elaboración de otros productos de tabaco n.c.p.,34,120,productos de tabaco
131100,131100 - Preparación e hilatura de fibras textiles,35,13,productos textiles
131200,131200 - Tejedura de productos textiles,35,13,productos textiles
131300,131300 - Acabado de productos textiles,35,13,productos textiles
139100,139100 - Fabricación de tejidos de punto y ganchillo,35,13,productos textiles
139200,"139200 - Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",35,13,productos textiles
139300,139300 - Fabricación de tapices y alfombras,35,13,productos textiles
139400,"139400 - Fabricación de cuerdas, cordeles, bramantes y redes",35,13,productos textiles
139900,139900 - Fabricación de otros productos textiles n.c.p.,35,13,productos textiles
141001,141001 - Fabricación de prendas de vestir de materiales textiles y similares,36,14,prendas de vestir
141002,141002 - Fabricación de prendas de vestir de cuero natural o artificial,36,14,prendas de vestir
141003,141003 - Fabricación de accesorios de vestir,36,14,prendas de vestir
141004,141004 - Fabricación de ropa de trabajo,36,14,prendas de vestir
