anio,ipc_2010_100
1980,4.718755
1981,5.647728
1982,6.209170
1983,7.901616
1984,9.470893
1985,12.378788
1986,14.789785
1987,17.730119
1988,20.333672
1989,23.796077
1990,29.991738
1991,36.525262
1992,42.159579
1993,47.525551
1994,52.963957
1995,57.324284
1996,61.542846
1997,65.317800
1998,68.655703
1999,70.946661
2000,73.673335
2001,76.302810
2002,78.202291
2003,80.399915
2004,81.247924
2005,83.728079
2006,86.568150
2007,90.383900
2008,98.262004
2009,98.608913
2010,100.000000
2011,103.341217
2012,106.449151
2013,108.354117
2014,113.466996
2015,118.401419
2016,122.884326
2017,125.566545
2018,128.623952
2019,131.913567
2020,135.930983
2021,142.081273
2022,158.625027
2023,170.651473
2024,177.985457
2025,185.483870
