prefijo,cou,nota
# Concordancia CIIU4.CL (codigo de actividad del SII, 6 digitos) -> actividad de la
# COU del Banco Central, compilacion de referencia 2018 (111 actividades).
#
# POR QUE EXISTE. El `codigo_3dig` de las planillas de la UAM es el correlativo de la
# actividad dentro de la COU: no es CIIU ni ninguna clasificacion estandar, asi que no
# hay llave con el registro de empresas del SII. Sin esta tabla no hay tamano medio de
# empresa por actividad, que es una de las variables que pide Gabriela Dutrenit.
#
# NO ESTA PUBLICADA. El Banco Central publica la correspondencia 111 -> 31 -> 12 dentro
# de su propia nomenclatura, y el Cuadro 2.3 de Metodos y Fuentes llega solo a 18 grupos
# con seccion y division CIIU. La correspondencia fina hay que construirla, y es esta.
#
# COMO SE RESUELVE. Gana el prefijo MAS LARGO que calce con el codigo de seis digitos.
# Por eso conviven reglas de 2, 3, 4 y 6 digitos: la regla corta cubre el grueso de la
# division y la larga corrige donde la COU parte una clase CIIU en dos actividades
# (bebidas, papel, electricidad, edificios, transporte terrestre).
#
# COMO SE AUDITA. `py/21_concordancias.py` la resuelve contra las 665 actividades del SII
# e informa cobertura, actividades de la COU sin contraparte, y las asignaciones que
# quedaron apoyadas en un prefijo corto. Se corrige aca, no en el codigo.

# --- Agricultura y ganaderia (COU 1-9) ---
011,1,plantas no perennes: cereales y forrajeras
0113,2,hortalizas raices y tuberculos
012,4,plantas perennes: otras frutas
0121,3,uva
013,2,propagacion de plantas y viveros
014,8,ganaderia: otros animales
0141,5,ganado bovino
0145,6,cerdos
0146,7,aves de corral
015,1,cultivo combinado con cria de animales
016,9,actividades de apoyo a la agricultura y ganaderia
017,8,caza

# --- Silvicultura y pesca (COU 10-12) ---
02,10,silvicultura y extraccion de madera
031,12,pesca extractiva
032,11,acuicultura

# --- Mineria (COU 13-18) ---
04,15,cobre: division 04 propia de la CIIU4.CL
05,13,extraccion de carbon de piedra y de lignito
06,14,extraccion de petroleo y gas natural
071,16,mineria del hierro
072,17,otros metaliferos no ferrosos excepto cobre
08,18,otras minas y canteras
09,18,servicios de apoyo a la mineria

# --- Alimentos (COU 19-29) ---
101,19,elaboracion y conservacion de carne
102,21,elaboracion y conservacion de pescados y mariscos
102010,20,harina de pescado: la COU la separa de la conserva
103,22,conservacion de frutas legumbres y hortalizas
104,23,aceites y grasas
105,24,productos lacteos
106,25,productos de molineria
107,29,otros productos alimenticios
107100,27,panaderia y pasteleria
107400,28,fideos y pastas
108,26,alimentos para animales

# --- Bebidas y tabaco (COU 30-34) ---
110,33,bebidas no alcoholicas (por defecto de la clase 110)
1101,30,piscos y licores
110200,31,vinos
110300,32,cervezas y bebidas malteadas
1104,33,bebidas no alcoholicas y aguas embotelladas
120,34,productos de tabaco

# --- Textil, vestuario, cuero (COU 35-38) ---
13,35,productos textiles
14,36,prendas de vestir
151,37,cuero y sus productos
152,38,calzado

# --- Madera, papel, imprentas (COU 39-44) ---
161,39,aserrado y acepilladura
162,40,productos de madera
170,43,otros articulos de papel y carton
1701,41,celulosa y pastas de madera
170200,42,envases de papel y carton
170900,43,otros articulos de papel y carton
18,44,imprentas y reproduccion de grabaciones

# --- Quimica y refinacion (COU 45-52) ---
19,45,coque y refinacion de petroleo
201,46,sustancias quimicas basicas abonos y plasticos primarios
202,50,otros productos quimicos
202200,47,pinturas y barnices
202300,49,aseo y cosmeticos
203,46,fibras artificiales
210,48,productos farmaceuticos
221,51,productos de caucho
222,52,productos de plastico

# --- Minerales no metalicos y metalurgia (COU 53-58) ---
231,53,vidrio y productos de vidrio
239,55,hormigon y otros minerales no metalicos
239400,54,cemento cal y yeso
241,56,industrias basicas de hierro y acero
242,57,metales no ferrosos
243100,56,fundicion de hierro y acero
243200,57,fundicion de metales no ferrosos
25,58,productos metalicos

# --- Maquinaria, equipo y otras manufacturas (COU 59-63) ---
26,60,informatica electronica y optica
27,60,equipo electrico
28,59,maquinaria de uso general y especial
29,61,vehiculos automotores
30,61,otro equipo de transporte
310,62,muebles
32,63,otras industrias manufactureras
33,63,reparacion e instalacion de maquinaria y equipo

# --- Electricidad, gas, agua y desechos (COU 64-69) ---
351,64,generacion de electricidad
351020,65,transmision de electricidad
351030,66,distribucion de electricidad
352,67,suministro de gas
353,67,suministro de vapor y aire acondicionado
360,68,captacion tratamiento y distribucion de agua
370,69,evacuacion de aguas residuales
38,69,recogida tratamiento y recuperacion de desechos
390,69,descontaminacion

# --- Construccion (COU 70-73) ---
410010,70,edificios residenciales
410020,71,edificios no residenciales
42,72,obras de ingenieria civil
43,73,actividades especializadas de construccion

# --- Comercio (COU 74-76) ---
45,74,comercio automotriz
46,75,comercio mayorista
47,76,comercio minorista

# --- Hoteles y restaurantes (COU 77-78) ---
55,77,alojamiento
56,78,restaurantes y servicio de comidas

# --- Transporte (COU 79-87) ---
491,79,transporte ferroviario
492,80,otros transportes terrestres de pasajeros
492300,81,transporte de carga por carretera
493,82,transporte por tuberias
50,83,transporte maritimo
51,84,transporte aereo
521,85,almacenamiento y deposito
522,87,otras actividades de apoyo al transporte
5221,86,apoyo al transporte terrestre

# --- Correo y telecomunicaciones (COU 88-93) ---
53,88,correo y mensajeria
611,91,otras telecomunicaciones (por defecto de la clase 611)
611010,90,telefonia fija
611020,90,telefonia larga distancia
612,89,telefonia movil
613,91,telecomunicaciones por satelite
619,91,otras actividades de telecomunicaciones
58,93,edicion produccion y difusion
582,92,edicion de programas informaticos
59,93,cine video y grabacion de sonido
60,93,radio y television
620,92,programacion y consultoria informatica
63,92,procesamiento de datos y servicios de informacion

# --- Financiero e inmobiliario (COU 94-98) ---
64,94,intermediacion financiera
65,95,seguros y reaseguros
66,96,auxiliares financieros
681,97,inmobiliarias con bienes propios o arrendados
681020,98,servicios imputados de alquiler de viviendas
682,97,inmobiliarias a cambio de retribucion

# --- Servicios profesionales y de apoyo (COU 99-103) ---
69,99,juridicas y contabilidad
70,101,oficinas principales y consultoria de gestion
711,100,arquitectura e ingenieria
712,100,ensayos y analisis tecnicos
72,101,investigacion y desarrollo
73,101,publicidad y estudios de mercado
74,101,otras profesionales cientificas y tecnicas
750,101,actividades veterinarias
77,102,alquiler y arrendamiento
78,103,agencias de empleo
79,103,agencias de viajes
80,103,seguridad e investigacion
81,103,servicios a edificios y paisajismo
82,103,administrativas y de apoyo de oficina

# --- Gobierno, educacion y salud (COU 104-108) ---
84,104,administracion publica
850,106,ensenanza escolar privada (por defecto de la clase 850)
850011,105,ensenanza preescolar publica
